R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE,,,,
64,2,papua,west_papua,pltmg_dedieselisasi,gas,1.31,0,2023,Plan,IPP,,1,730000,0,0,22500,0,2.23,1.31,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
65,2,papua,west_papua,plts_dedieselisasi,solar,1.31,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,1.31,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
66,2,papua,west_papua,plts_dedieselisasi,solar,48.8,0,2025,Plan,IPP,,1,560000,0,0,10000,0,0,48.8,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
67,2,papua,west_papua,plts_lisdes,solar,0.33,0,2021,Plan,PLN,,1,560000,0,0,10000,0,0,0.33,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
68,2,papua,west_papua,plts_lisdes,solar,0.28,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,0.28,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
69,2,papua,west_papua,plts_lisdes,solar,0.22,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,0.22,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
70,2,papua,west_papua,plts_lisdes,solar,0.69,0,2024,Plan,PLN,,1,560000,0,0,10000,0,0,0.69,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
71,2,papua,west_papua,plts_lisdes,solar,0.68,0,2025,Plan,PLN,,1,560000,0,0,10000,0,0,0.68,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
72,2,papua,west_papua,plts_lisdes,solar,0.57,0,2026,Plan,PLN,,1,560000,0,0,10000,0,0,0.57,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
73,2,papua,west_papua,plts_lisdes,solar,0.42,0,2027,Plan,PLN,,1,560000,0,0,10000,0,0,0.42,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,,
74,2,papua,west_papua,pltmg_kaimana,gas,10,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,10,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
75,2,papua,west_papua,pltbm_kaimana_2,biomass,10,0,2028,Plan,PLN,,1,1820000,0,0,43800,0,2.8,10,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,1,,,,
76,2,papua,west_papua,pltmg_mpp_manokwari,gas,20,0,2022,Procurement,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
77,2,papua,west_papua,pltmg_manokwari_3,gas,20,0,2024,Plan,PLN,,1,730000,0,0,22500,0,2.23,20,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,0,0,0,0,,,,
78,2,papua,west_papua,pltm_warnasi_warkai,hydropower,4.6,0,2025,Plan,PLN,,1,2200000,0,0,40200,0,0.48,4.6,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,,
