r_id,amamapare_port_power_station_unit_1,amamapare_port_power_station_unit_2,amamapare_port_power_station_unit_3,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,amamapare_port_power_station_solar,bp_berau_ltd,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_solar,bp_berau_ltd_wind,amamapare_port_power_station_battery,bp_berau_ltd_battery
181,1,1,1,0.272,0.272,0.272,0.272,0.272,1,0.289,0.289,0.289,0.289,0.289,0,1,1
182,1,1,1,0.208,0.208,0.208,0.208,0.208,1,0.258,0.258,0.258,0.258,0.258,0,1,1
183,1,1,1,0.123,0.123,0.123,0.123,0.123,1,0.193,0.193,0.193,0.193,0.193,0,1,1
184,1,1,1,0.051,0.051,0.051,0.051,0.051,1,0.107,0.107,0.107,0.107,0.107,0,1,1
185,1,1,1,0.006,0.006,0.006,0.006,0.006,1,0.024,0.024,0.024,0.024,0.024,0,1,1
186,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1
187,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.001,1,1
188,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.014,1,1
189,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.038,1,1
190,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.048,1,1
191,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.051,1,1
192,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.057,1,1
193,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.061,1,1
194,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.055,1,1
195,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.058,1,1
196,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.063,1,1
197,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0.059,1,1
198,1,1,1,0.04,0.04,0.04,0.04,0.04,1,0.011,0.011,0.011,0.011,0.011,0.045,1,1
199,1,1,1,0.164,0.164,0.164,0.164,0.164,1,0.085,0.085,0.085,0.085,0.085,0.011,1,1
200,1,1,1,0.349,0.349,0.349,0.349,0.349,1,0.196,0.196,0.196,0.196,0.196,0.002,1,1
201,1,1,1,0.467,0.467,0.467,0.467,0.467,1,0.3,0.3,0.3,0.3,0.3,0,1,1
202,1,1,1,0.518,0.518,0.518,0.518,0.518,1,0.396,0.396,0.396,0.396,0.396,0,1,1
203,1,1,1,0.532,0.532,0.532,0.532,0.532,1,0.469,0.469,0.469,0.469,0.469,0,1,1
204,1,1,1,0.503,0.503,0.503,0.503,0.503,1,0.478,0.478,0.478,0.478,0.478,0,1,1
205,1,1,1,0.437,0.437,0.437,0.437,0.437,1,0.454,0.454,0.454,0.454,0.454,0,1,1
206,1,1,1,0.328,0.328,0.328,0.328,0.328,1,0.399,0.399,0.399,0.399,0.399,0,1,1
