R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
74,2,nusa_tenggara,east_nusa_tenggara,plts_sabu_raijua,solar,0.6,0,2022,Plan,PLN,,1,560000,0,0,10000,0,0,0.6,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
75,2,nusa_tenggara,east_nusa_tenggara,pltp_sokoria,geothermal,3,0,2022,Construction,IPP,,1,3440000,0,0,43000,0,0.22,3,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
76,2,nusa_tenggara,east_nusa_tenggara,pltm_sumba_kuota_tersebar,hydropower,2,0,2022,Plan,IPP,,1,2200000,0,0,40200,0,0.48,2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
77,2,nusa_tenggara,east_nusa_tenggara,pltu_timor_1,coal,100,0,2022/23,Construction,PLN,,-1,1360000,0,0,40000,0,0.12,100,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0
78,2,nusa_tenggara,east_nusa_tenggara,plts_dedieselisasi,solar,29.5,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,29.5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
79,2,nusa_tenggara,east_nusa_tenggara,plts_dedieselisasi,solar,40.76,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,40.76,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
80,2,nusa_tenggara,east_nusa_tenggara,plts_lembata,solar,3,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,3,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
81,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2023,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
82,2,nusa_tenggara,east_nusa_tenggara,pltb_sumba_kuota_tersebar,wind,3,0,2023,Plan,IPP,,1,1280000,0,0,51000,0,0,3,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
83,2,nusa_tenggara,east_nusa_tenggara,plts_timor_kuota_tersebar,solar,5,0,2023,Plan,IPP,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
84,2,nusa_tenggara,east_nusa_tenggara,pltm_wae_lega_ruteng,hydropower,1.75,0,2023,Plan,IPP,,1,2200000,0,0,40200,0,0.48,1.75,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
85,2,nusa_tenggara,east_nusa_tenggara,pltmg_kupang_2,hydropower,30,0,2024,Procurement,PLN,,1,2200000,0,0,40200,0,0.48,30,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1
86,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2024,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
87,2,nusa_tenggara,east_nusa_tenggara,plts_sumba,solar,5,0,2024,Plan,PLN,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
88,2,nusa_tenggara,east_nusa_tenggara,plts_timor_kuota_tersebar,solar,5,0,2024,Plan,IPP,,1,560000,0,0,10000,0,0,5,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
