R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
55,2,jawa_bali,banten,5,pt_indocoke_industry_solar,,solar,808.020816,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,808.020816,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
56,2,jawa_bali,banten,5,pt_indocoke_industry_solar,,solar,64.818771,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,64.818771,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
57,2,jawa_bali,banten,5,pt_indocoke_industry_solar,,solar,1055.96811,0,,,,,,,,,,,,,,,,,,,,,,,3,1,560000,0,0,10000,0,0,1055.96811,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
58,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama,power_plant_pt_permata_dunia_sukses_utama,coal_captive,21,0,operating,,,sugar,,,pt_permata_dunia_sukses_utama,fks_food_and_agri_pte_ltd,singapore,,,,,karakatau_industrial_park,,,,,-6.019071,105.9753301,,,4,-1,1600000,0,0,43900,0,0.12,21,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
59,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_geothermal,,geothermal,355.796264,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3440000,0,0,43000,0,0.22,355.796264,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
60,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_geothermal,,geothermal,5650.846727,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,5650.846727,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
61,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_geothermal,,geothermal,443.807494,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3440000,0,0,43000,0,0.22,443.807494,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
62,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_geothermal,,geothermal,585.363407,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,3440000,0,0,43000,0,0.22,585.363407,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
63,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_geothermal,,geothermal,420.859928,0,,,,,,,,,,,,,,,,,,,,,,,3,1,3440000,0,0,43000,0,0.22,420.859928,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
64,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_solar,,solar,362.743546,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,362.743546,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
65,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_solar,,solar,10220.16683,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,10220.16683,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
66,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_solar,,solar,1065.137987,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,1065.137987,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
67,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_solar,,solar,98.657246,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,98.657246,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
68,2,jawa_bali,banten,6,pt_permata_dunia_sukses_utama_solar,,solar,1010.063827,0,,,,,,,,,,,,,,,,,,,,,,,3,1,560000,0,0,10000,0,0,1010.063827,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
69,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya,,coal_captive,22,0,operating,,,sugar,,,pt_sentra_usahatama_jaya,pt_sumbermas_mulyalestari,indonesia,,,,,no,,,,,-6.0212822,105.967855,,,4,-1,1600000,0,0,43900,0,0.12,22,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
70,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_geothermal,,geothermal,348.143438,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3440000,0,0,43000,0,0.22,348.143438,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
71,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_geothermal,,geothermal,5652.759303,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,5652.759303,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
72,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_geothermal,,geothermal,403.636059,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3440000,0,0,43000,0,0.22,403.636059,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
73,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_geothermal,,geothermal,583.450203,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,3440000,0,0,43000,0,0.22,583.450203,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
74,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_geothermal,,geothermal,422.771801,0,,,,,,,,,,,,,,,,,,,,,,,3,1,3440000,0,0,43000,0,0.22,422.771801,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
75,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_solar,,solar,344.376764,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,344.376764,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
76,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_solar,,solar,10224.75701,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,10224.75701,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
77,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_solar,,solar,968.726542,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,968.726542,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
78,2,jawa_bali,banten,7,pt_sentra_usahatama_jaya_solar,,solar,98.385115,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,98.385115,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
