R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
326,6,jawa_bali,east_jawa,east_jawa_solar_potential_ruen,solar,10335,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
327,7,jawa_bali,bali,bali_solar_potential_ruen,solar,1254,0,,potential,,,1,560000,0,0,10000,0,0,50,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
328,1,jawa_bali,dki_jakarta,dki_jakarta_wind_potential_ruen,wind,4,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
329,2,jawa_bali,banten,banten_wind_potential_ruen,wind,1753,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
330,3,jawa_bali,west_jawa,west_jawa_wind_potential_ruen,wind,7036,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
331,4,jawa_bali,central_jawa,central_jawa_wind_potential_ruen,wind,5213,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
332,5,jawa_bali,yogyakarta,yogyakarta_wind_potential_ruen,wind,1079,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
333,6,jawa_bali,east_jawa,east_jawa_wind_potential_ruen,wind,7907,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
334,7,jawa_bali,bali,bali_wind_potential_ruen,wind,1019,0,,potential,,,1,1280000,0,0,51000,0,0,55,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,,,,1,
335,1,jawa_bali,dki_jakarta,gas_candidate_1,gas,250,0,,potential,,,1,730000,0,0,22500,0,2.23,250,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,0,1,0,0
