# developable solar land per village, derived from usable_land_ntt.shp
# region=Kupang|Kota Kupang|Timor Tengah Selatan|Timor Tengah Utara|Belu excluded_classes=Settlement Area mwp_per_km2=50 max_radius_km=10
# nearest-village allocation; land beyond the radius (0.0 km²) is not attributed to any village
Village,developable_km2,developable_MW,source
444,2.6593,132.97,sited
445,0.0,233.6,fallback
446,3.3602,168.01,sited
447,2.7233,136.16,sited
448,2.1515,107.58,sited
449,2.3647,118.23,sited
450,3.0976,154.88,sited
451,2.8877,144.39,sited
452,2.6006,130.03,sited
453,0.0,233.6,fallback
454,0.0,233.6,fallback
455,2.6793,133.97,sited
456,2.6894,134.47,sited
457,0.7535,37.68,sited
458,4.2391,211.96,sited
459,0.7769,38.84,sited
460,0.7521,37.61,sited
461,3.4266,171.33,sited
462,1.7746,88.73,sited
463,0.6286,31.43,sited
464,4.5447,227.24,sited
465,2.6577,132.89,sited
466,3.2897,164.49,sited
467,1.8133,90.66,sited
468,2.3368,116.84,sited
469,0.6831,34.16,sited
470,1.3385,66.93,sited
471,4.49,224.5,sited
472,7.9128,395.64,sited
473,3.0679,153.4,sited
474,5.8056,290.28,sited
475,8.6444,432.22,sited
476,1.6914,84.57,sited
477,4.6047,230.24,sited
478,9.3744,468.72,sited
479,3.6012,180.06,sited
480,0.0,233.6,fallback
481,0.0,233.6,fallback
482,8.7653,438.26,sited
483,6.7608,338.04,sited
484,9.404,470.2,sited
485,28.9178,1445.89,sited
486,11.5712,578.56,sited
487,17.4913,874.57,sited
488,0.0,233.6,fallback
489,16.0593,802.97,sited
490,9.4048,470.24,sited
491,7.9829,399.14,sited
492,10.5845,529.23,sited
493,5.0721,253.6,sited
494,0.0,233.6,fallback
495,3.0809,154.05,sited
496,9.6122,480.61,sited
497,6.2683,313.41,sited
498,1.8759,93.8,sited
499,0.0,233.6,fallback
500,7.1437,357.18,sited
501,0.0,233.6,fallback
502,3.0794,153.97,sited
503,5.2075,260.37,sited
504,2.4131,120.65,sited
505,2.1845,109.23,sited
506,0.0,233.6,fallback
507,9.7374,486.87,sited
508,0.0,233.6,fallback
509,0.0,233.6,fallback
510,0.0,233.6,fallback
511,15.2384,761.92,sited
512,12.9004,645.02,sited
513,19.773,988.65,sited
514,7.0876,354.38,sited
515,0.0,233.6,fallback
516,3.2194,160.97,sited
517,3.2771,163.86,sited
518,0.0,233.6,fallback
519,0.0,233.6,fallback
520,3.0927,154.64,sited
521,1.0435,52.18,sited
522,0.6314,31.57,sited
523,0.0,233.6,fallback
524,1.3468,67.34,sited
525,0.5169,25.85,sited
526,5.5369,276.84,sited
527,6.9153,345.77,sited
528,6.9848,349.24,sited
529,0.0,233.6,fallback
530,7.2897,364.48,sited
531,7.3052,365.26,sited
532,3.4805,174.02,sited
533,0.0,233.6,fallback
534,0.0,233.6,fallback
535,17.5539,877.69,sited
536,11.9847,599.24,sited
537,0.0,233.6,fallback
538,17.5569,877.84,sited
539,0.1851,9.26,sited
540,0.2603,13.02,sited
541,0.0,233.6,fallback
542,0.2178,10.89,sited
543,0.5407,27.04,sited
544,0.1897,9.49,sited
545,0.2187,10.93,sited
546,0.0732,3.66,sited
547,0.0976,4.88,sited
548,4.9522,247.61,sited
549,4.2432,212.16,sited
550,3.3098,165.49,sited
551,2.7847,139.24,sited
552,0.0,233.6,fallback
553,4.5209,226.04,sited
554,3.0349,151.75,sited
555,4.6299,231.49,sited
