Village,kabupaten,kecamatan,desa,archetype,households,ghi,ghi_matched,lat,lon,annual_kwh,peak_mw,diesel_mw
104,KUPANG,AMABI OEFETO TIMUR,OEMOFA,rice,680,5.7132,True,-10.08455301421634,124.1171564590802,843880,0.19044,0.2095
105,KUPANG,AMABI OEFETO TIMUR,OEMOLO,rice,390,5.7554,True,-10.09043232308637,124.1705349274475,483990,0.10923,0.1201
106,KUPANG,AMABI OEFETO TIMUR,OENAUNU,rice,255,5.7381,True,-10.04626955294411,124.1313880574038,316455,0.07142,0.0786
107,KUPANG,AMABI OEFETO TIMUR,OENIKO,rice,260,5.7593,True,-10.13798130165265,124.0169890168319,322660,0.07282,0.0801
108,KUPANG,AMABI OEFETO TIMUR,OENUNUTONO,horticulture,370,5.651,False,,,459170,0.10362,0.114
109,KUPANG,AMABI OEFETO TIMUR,PATHAU,rice,430,5.8039,True,-10.15262610827164,124.04696314465,533630,0.12043,0.1325
110,KUPANG,AMABI OEFETO TIMUR,SEKI,rice,298,5.7197,True,-10.05398130568263,124.0902303162224,369818,0.08346,0.0918
111,KUPANG,AMARASI,APREN,plantation,517,5.6627,True,-10.23810173968751,123.9447254216313,641597,0.14479,0.1593
112,KUPANG,AMARASI,KOTABES,livestock,573,5.5485,True,-10.24613859580244,123.8377435262301,711093,0.16048,0.1765
113,KUPANG,AMARASI,NONBES,rice,823,5.716,True,-10.19516882006144,123.8311306498693,1021343,0.23049,0.2535
114,KUPANG,AMARASI,OENONI,horticulture,412,5.6903,True,-10.21106468122563,123.928741775739,511292,0.11539,0.1269
115,KUPANG,AMARASI,OENONI II,horticulture,415,5.7257,True,-10.19450245679481,123.9559348974979,515015,0.11623,0.1279
116,KUPANG,AMARASI,OESENA,rice,425,5.6806,True,-10.21511568469039,123.8063141423751,527425,0.11903,0.1309
117,KUPANG,AMARASI,PONAIN,horticulture,624,5.6541,True,-10.21270934606261,123.8590776999478,774384,0.17476,0.1922
118,KUPANG,AMARASI,TESBATAN,rice,444,5.6815,True,-10.21190468170315,123.8819054168172,551004,0.12435,0.1368
119,KUPANG,AMARASI,TESBATAN II,rice,374,5.6754,True,-10.2122889243398,123.9007935678025,464134,0.10474,0.1152
120,KUPANG,AMARASI BARAT,ERBAUN,livestock,450,5.742,True,-10.32657821259509,123.7559554104337,558450,0.12603,0.1386
121,KUPANG,AMARASI BARAT,MERBAUN,plantation,621,5.7882,True,-10.34101968795551,123.7122875180651,770661,0.17392,0.1913
122,KUPANG,AMARASI BARAT,NEKBAUN,plantation,465,5.7512,True,-10.3255635051305,123.6862253868342,577065,0.13023,0.1433
123,KUPANG,AMARASI BARAT,NIUKBAUN,rice,435,5.6323,True,-10.29290346755248,123.6864299389411,539835,0.12183,0.134
124,KUPANG,AMARASI BARAT,SOBA,livestock,455,5.621,True,-10.27053394353247,123.7233048371844,564655,0.12743,0.1402
125,KUPANG,AMARASI BARAT,TEUNBAUN,rice,634,5.6795,True,-10.30089967938595,123.7272523027124,786794,0.17756,0.1953
126,KUPANG,AMARASI BARAT,TOOBAUN,livestock,486,5.6342,True,-10.28210283912845,123.771152998274,603126,0.13611,0.1497
127,KUPANG,AMARASI BARAT,TUNBAUN,livestock,839,5.6152,True,-10.25199667353974,123.7794895347488,1041199,0.23498,0.2585
128,KUPANG,AMARASI SELATAN,BURAEN,livestock,725,5.7488,True,-10.28434521924404,123.906770707501,899725,0.20305,0.2234
129,KUPANG,AMARASI SELATAN,NEKMESE,livestock,631,5.5752,True,-10.25093634097198,123.8930962433243,783071,0.17672,0.1944
130,KUPANG,AMARASI SELATAN,RETRAEN,livestock,506,5.7116,True,-10.3177258655116,123.8410103800724,627946,0.14171,0.1559
131,KUPANG,AMARASI SELATAN,SAHRAEN,livestock,586,5.7345,True,-10.32909060541795,123.8010162088357,727226,0.16412,0.1805
132,KUPANG,AMARASI SELATAN,SONRAEN,livestock,478,5.5315,True,-10.27903620622966,123.829515262588,593198,0.13387,0.1473
133,KUPANG,AMARASI TIMUR,ENORAEN,livestock,398,5.8324,True,-10.14069254718038,124.1526041108065,493918,0.11147,0.1226
134,KUPANG,AMARASI TIMUR,OEBESI,rice,622,5.7953,True,-10.19544759754867,124.000595179835,771902,0.1742,0.1916
135,KUPANG,AMARASI TIMUR,PAKUBAUN,horticulture,923,5.8673,True,-10.22890546919172,124.026439046603,1145443,0.2585,0.2844
136,KUPANG,AMARASI TIMUR,RABEKA,horticulture,450,5.8477,True,-10.18139059444339,124.0535153043256,558450,0.12603,0.1386
137,KUPANG,AMFOANG BARAT DAYA,BIOBA BARUTAEN,rice,199,5.651,False,,,246959,0.05573,0.0613
138,KUPANG,AMFOANG BARAT DAYA,LETKOLE,rice,192,5.369,True,-9.677046119530129,123.7946963081708,238272,0.05377,0.0591
139,KUPANG,AMFOANG BARAT DAYA,MANUBELON,rice,669,5.6168,True,-9.6871051954843,123.7196057833776,830229,0.18736,0.2061
140,KUPANG,AMFOANG BARAT DAYA,NEFONEUT,rice,129,5.4952,True,-9.73789214945535,123.7818428603139,160089,0.03613,0.0397
141,KUPANG,AMFOANG BARAT LAUT,FAUMES,rice,288,5.1358,True,-9.631378864905631,123.8450773010944,357408,0.08066,0.0887
142,KUPANG,AMFOANG BARAT LAUT,HONUK,rice,395,5.0341,True,-9.588132990771502,123.8820239526761,490195,0.11063,0.1217
143,KUPANG,AMFOANG BARAT LAUT,OELFATU,rice,512,5.6471,True,-9.575012057914066,123.7720183800842,635392,0.14339,0.1577
144,KUPANG,AMFOANG BARAT LAUT,SAUKIBE,rice,384,5.4742,True,-9.62010711249906,123.7802252555251,476544,0.10755,0.1183
145,KUPANG,AMFOANG BARAT LAUT,SOLIU,rice,391,5.6601,True,-9.612827964625286,123.7379989073645,485231,0.10951,0.1205
146,KUPANG,AMFOANG BARAT LAUT,TIMAU,rice,344,5.5469,True,-9.594161579640172,123.7892461221388,426904,0.09634,0.106
147,KUPANG,AMFOANG SELATAN,FATUMETAN,rice,150,5.3991,True,-9.752769603572949,123.905057372066,186150,0.04201,0.0462
148,KUPANG,AMFOANG SELATAN,FATUSUKI,rice,143,5.4659,True,-9.782832799980328,123.8510369215714,177463,0.04005,0.0441
149,KUPANG,AMFOANG SELATAN,LELOBOKO,rice,283,5.1175,True,-9.67221559906568,123.9222618732908,351203,0.07926,0.0872
150,KUPANG,AMFOANG SELATAN,LELOGAMA,rice,544,5.2073,True,-9.70285377070369,123.9562681466401,675104,0.15236,0.1676
151,KUPANG,AMFOANG SELATAN,OELBANU,rice,325,5.2447,True,-9.700784796579656,123.8589828967674,403325,0.09102,0.1001
152,KUPANG,AMFOANG SELATAN,OHAEM I,rice,486,5.651,False,,,603126,0.13611,0.1497
153,KUPANG,AMFOANG SELATAN,OHAEM II,rice,203,5.651,False,,,251923,0.05685,0.0625
154,KUPANG,AMFOANG TENGAH,BINAFUN,rice,331,5.4709,True,-9.67170445235194,124.0576313138876,410771,0.0927,0.102
155,KUPANG,AMFOANG TENGAH,BITOBE,rice,405,5.2365,True,-9.58122354664954,123.9977420387837,502605,0.11343,0.1248
156,KUPANG,AMFOANG TENGAH,BONMUTI,rice,259,5.1758,True,-9.554970283031968,124.0823224036268,321419,0.07254,0.0798
157,KUPANG,AMFOANG TENGAH,FATUMONAS,rice,517,5.4285,True,-9.69447901393796,124.0215593969569,641597,0.14479,0.1593
158,KUPANG,AMFOANG TIMUR,KIFU,rice,270,5.6989,True,-9.434475804950472,124.017128322366,335070,0.07562,0.0832
159,KUPANG,AMFOANG TIMUR,NETEMNANU,rice,234,5.3934,True,-9.462597433896882,124.125556823736,290394,0.06554,0.0721
160,KUPANG,AMFOANG TIMUR,NETEMNANU SELATAN,rice,570,5.9523,True,-9.374393512548483,124.0220079515875,707370,0.15964,0.1756
161,KUPANG,AMFOANG TIMUR,NETEMNANU UTARA,rice,536,5.6845,True,-9.404895637067971,124.0607629667404,665176,0.15012,0.1651
162,KUPANG,AMFOANG TIMUR,NUNUANAH,rice,378,5.5321,True,-9.47067784781556,123.9751337027074,469098,0.10586,0.1165
163,KUPANG,AMFOANG UTARA,AFOAN,rice,321,5.4976,True,-9.536050186801138,123.8110935822352,398361,0.0899,0.0989
164,KUPANG,AMFOANG UTARA,BAKUIN,rice,286,5.3925,True,-9.49771601943064,123.9298136222282,354926,0.0801,0.0881
165,KUPANG,AMFOANG UTARA,FATUNAUS,rice,324,5.4123,True,-9.509232861031846,123.8690538259928,402084,0.09074,0.0998
166,KUPANG,AMFOANG UTARA,KOLABE,rice,315,5.52,True,-9.494341921389,123.8930659725356,390915,0.08822,0.097
167,KUPANG,AMFOANG UTARA,LILMUS,rice,189,5.7224,True,-9.465955818979063,123.912351930363,234549,0.05293,0.0582
168,KUPANG,AMFOANG UTARA,NAIKLIU,rice,347,5.3881,True,-9.525303341147607,123.8541104418754,430627,0.09718,0.1069
169,KUPANG,FATULEU,CAMPLONG I,trade,1125,5.6563,True,-10.04719659764069,123.8996454133161,1396125,0.31507,0.3466
170,KUPANG,FATULEU,CAMPLONG II,rice,830,5.5787,True,-10.01595762272196,123.9145103193098,1030030,0.23245,0.2557
171,KUPANG,FATULEU,EKATETA,rice,732,5.5866,True,-9.98134525275116,123.9560177692122,908412,0.20501,0.2255
172,KUPANG,FATULEU,KIUONI,horticulture,312,5.5746,True,-9.928189013072783,123.9477363441457,387192,0.08738,0.0961
173,KUPANG,FATULEU,KUIMASI,rice,593,5.7192,True,-10.06674416598847,123.8886423599732,735913,0.16608,0.1827
174,KUPANG,FATULEU,NAUNU,rice,588,5.651,False,,,729708,0.16468,0.1811
175,KUPANG,FATULEU,OEBOLA,rice,489,5.6903,True,-10.07960092496921,124.0013396140088,606849,0.13695,0.1506
176,KUPANG,FATULEU,OEBOLA DALAM,rice,315,5.6983,True,-10.0664021922583,123.9508135129777,390915,0.08822,0.097
177,KUPANG,FATULEU,SILLU,plantation,1035,5.6918,True,-10.03837326348155,124.0456644083933,1284435,0.28987,0.3189
178,KUPANG,FATULEU,TOLNAKU,rice,394,5.514,True,-9.992498432881789,123.8891689414422,488954,0.11035,0.1214
179,KUPANG,FATULEU BARAT,KALALI,rice,338,5.4662,True,-9.933099086147738,123.6722717139275,419458,0.09466,0.1041
180,KUPANG,FATULEU BARAT,NAITAE,rice,432,5.518,True,-9.85147565635872,123.7298011376228,536112,0.12099,0.1331
181,KUPANG,FATULEU BARAT,NUATAUS,rice,407,5.5095,True,-9.823973784917282,123.7769439238018,505087,0.11399,0.1254
182,KUPANG,FATULEU BARAT,POTO,rice,718,5.4176,True,-9.895241771981771,123.7381182239397,891038,0.20109,0.2212
183,KUPANG,FATULEU BARAT,TUAKAU,rice,517,5.6507,True,-9.771691907127115,123.7084349530312,641597,0.14479,0.1593
184,KUPANG,FATULEU TENGAH,NONBAUN,rice,292,5.503,True,-9.898442835568252,123.891052408338,362372,0.08178,0.09
185,KUPANG,FATULEU TENGAH,NUNSAEN,rice,632,5.4149,True,-9.959738348362604,123.8764293313547,784312,0.177,0.1947
186,KUPANG,FATULEU TENGAH,OELBITENO,rice,362,5.2442,True,-9.934669254430622,123.7953149773817,449242,0.10138,0.1115
187,KUPANG,FATULEU TENGAH,PASSI,rice,223,5.4099,True,-9.90898735044635,123.8491016443742,276743,0.06245,0.0687
188,KUPANG,KELAPA LIMA,KELAPA LIMA,trade,3480,5.651,False,,,4318680,0.97463,1.0721
189,KUPANG,KELAPA LIMA,LASIANA,trade,3208,5.651,False,,,3981128,0.89845,0.9883
190,KUPANG,KELAPA LIMA,OESAPA,trade,10220,5.651,False,,,12683020,2.86227,3.1485
