Village,Cost_per_yr,Max_Connect_MW
512,57545,0.0949
513,61021,0.1302
514,35145,0.1823
515,27514,0.1546
516,27195,0.1836
517,23988,0.1441
518,27514,0.092
519,27514,0.0756
520,37163,0.2176
521,86542,0.1748
522,86487,0.1479
523,27514,0.0618
524,82778,0.1449
525,91530,0.1336
526,74593,0.1109
527,92419,0.1084
528,102038,0.105
529,27514,0.3239
530,74631,0.2012
531,86120,0.2491
532,77300,0.3029
533,27514,0.076
534,27514,0.1096
535,79817,0.1529
536,63926,0.1151
537,27514,0.1361
538,71175,0.0886
539,103881,0.1193
540,103205,0.1685
541,27514,0.2382
542,112510,0.2327
543,118080,0.1899
544,107182,0.205
545,101520,0.1802
546,109765,0.1374
547,109376,0.2336
548,45848,0.142
549,36589,0.3739
550,40790,0.1806
551,35863,0.1147
552,27514,0.1886
553,31668,0.1382
554,23119,0.2726
555,8941,0.076
556,12859,0.2143
557,30135,0.2021
558,19101,0.2395
559,9821,0.1357
560,30696,0.2168
561,27514,0.1647
562,28656,0.1071
563,30547,0.192
564,8181,0.0962
565,22348,0.0941
566,109285,0.2747
567,104303,0.0773
568,94779,0.1159
569,99368,0.3487
570,99681,0.1105
571,25500,0.1046
572,46295,0.2924
573,19979,0.0664
574,33241,0.0954
575,36381,0.0504
576,22345,0.2735
577,29635,0.1479
578,34271,0.176
579,123095,0.1806
580,123615,0.1622
581,27514,0.1588
582,118637,0.076
583,110952,0.1479
584,27514,0.2525
585,122263,0.3268
586,125051,0.2911
587,127928,0.2466
588,195186,0.1811
589,209512,0.1454
590,228538,0.2357
591,174266,0.1571
592,27514,0.1655
593,180670,0.1134
594,191826,0.5579
595,207479,0.1164
596,209940,0.1508
597,195863,0.0912
598,171456,0.0924
599,181319,0.1
600,183637,0.0576
601,191672,0.1386
602,161332,0.1109
603,155405,0.1059
604,159298,0.0525
605,175728,0.2189
606,166299,0.1201
607,170701,0.2029
608,151472,0.0613
609,129318,0.0676
610,125062,0.1138
611,140392,0.121
612,138525,0.1458
613,159119,0.1365
614,148549,0.0991
615,138619,0.1214
616,27514,0.2117
617,164153,0.2084
618,161935,0.1827
619,27514,0.2189
620,27514,0.234
621,176572,0.1517
622,182728,0.1701
623,27514,0.1307
624,27514,0.1349
625,179553,0.0823
626,189595,0.1038
627,166123,0.0882
628,170650,0.0983
629,173113,0.0769
630,27514,0.229
631,60335,0.1344
632,81173,0.1311
633,77263,0.0895
634,59461,0.0664
635,70118,0.0563
636,61365,0.0672
637,68915,0.1126
638,84968,0.0458
639,101215,0.079
640,96849,0.0483
641,87687,0.0567
642,62345,0.2067
643,70522,0.0987
644,70050,0.2164
645,65272,0.0819
646,79285,0.1701
647,83955,0.0979
648,27514,0.0702
649,76543,0.097
650,83470,0.0723
651,83391,0.1159
652,79519,0.1155
653,83411,0.1357
654,71361,0.1323
655,89217,0.0807
656,87250,0.0441
657,27514,0.0836
658,103990,0.0517
659,106223,0.066
660,27514,0.1092
661,90250,0.0815
662,99461,0.1264
663,94733,0.0777
664,94633,0.0739
665,119568,0.1344
666,113155,0.1466
667,118915,0.0844
668,122857,0.1861
669,27514,0.0916
670,123794,0.1235
671,130091,0.1328
672,125217,0.1819
673,119508,0.1189
674,99607,0.0996
675,104822,0.0563
676,130461,0.2319
677,27514,0.2684
678,101450,0.1143
679,109877,0.118
680,116098,0.0807
681,107915,0.1298
682,27514,0.1987
683,27514,0.1206
684,80339,0.0991
685,98359,0.1286
686,93058,0.0756
687,85052,0.0781
688,81645,0.0433
689,88889,0.0798
690,91962,0.0597
691,83010,0.0756
692,27514,0.1592
693,85074,0.0865
694,27514,0.0706
695,111967,0.0844
696,112216,0.1861
697,111696,0.1328
698,119193,0.134
699,117320,0.0563
700,115508,0.2092
701,106777,0.2302
702,110817,0.1155
703,104017,0.3621
704,119592,0.0483
705,131458,0.0836
706,151238,0.2348
707,135504,0.1231
708,27514,0.1344
709,27514,0.2294
710,27514,0.4625
711,162028,0.1546
712,86429,0.2781
713,79402,0.3285
714,77224,0.5087
715,77969,0.739
716,82388,0.5844
717,84647,0.313
718,72376,0.6003
719,70456,0.7852
720,82792,0.5919
721,47956,0.2651
722,56785,0.1693
723,35903,0.2037
724,40484,0.1302
725,43596,0.1197
726,41056,0.0546
727,60627,0.0996
728,27514,0.0794
729,51778,0.1878
730,53355,0.0853
731,46049,0.2449
732,27514,0.037
733,36507,0.108
734,45228,0.0966
735,53112,0.1764
736,27514,0.2067
737,27514,0.0752
738,51529,0.076
739,48106,0.0756
740,94397,0.1445
741,102288,0.1605
742,108252,0.0563
743,98654,0.0588
744,97810,0.1025
745,112254,0.0786
746,27514,0.063
747,88730,0.3453
748,93341,0.1605
749,113666,0.1038
750,106709,0.1038
751,66245,0.0496
752,57078,0.1109
753,72667,0.0416
754,63522,0.0958
755,66757,0.1403
756,56314,0.1412
757,97796,0.1941
758,96505,0.1008
759,95862,0.0744
760,77230,0.4365
761,121834,0.1802
762,128049,0.1054
763,141699,0.158
764,114956,0.1412
765,47008,0.1617
766,47998,0.0895
767,54352,0.1365
768,38680,0.1227
769,60479,0.0928
770,51661,0.1416
771,43574,0.1706
772,53320,0.0849
773,58370,0.121
774,43941,0.0462
775,53759,0.1962
776,27514,0.0718
777,82283,0.1395
778,66436,0.079
779,74880,0.1117
780,67884,0.158
