Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4,demand_ip5,demand_ip6,demand_ip7,demand_ip8,demand_ip9,demand_ip10,demand_ip11,demand_ip12,demand_ip13,demand_ip14,demand_ip15,demand_ip16,demand_ip17,demand_ip18,demand_ip19,demand_ip20,demand_ip21
,,,,,,,,,139,6,16,19,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,140,6,16,20,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,141,6,16,21,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,142,6,16,22,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,143,6,16,23,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,144,6,16,24,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,145,6,17,1,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,146,6,17,2,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,147,6,17,3,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,148,6,17,4,,126,23,11,65,0,6,6,4,5,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,149,6,17,5,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,150,6,17,6,,180,23,16,65,0,8,9,6,7,5,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,151,6,17,7,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,152,6,17,8,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,8,24,9,33,15,0,12
,,,,,,,,,153,6,17,9,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,154,6,17,10,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,155,6,17,11,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,156,6,17,12,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,157,6,17,13,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,158,6,17,14,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,159,6,17,15,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,160,6,17,16,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,161,6,17,17,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,162,6,17,18,,180,29,16,65,0,8,9,6,7,8,7,85,6,0,13,24,16,33,25,0,12
,,,,,,,,,163,6,17,19,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,164,6,17,20,,180,26,16,65,0,8,9,6,7,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,165,6,17,21,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
,,,,,,,,,166,6,17,22,,144,26,13,65,0,7,7,5,6,7,7,85,6,0,9,24,11,33,18,0,12
