Date,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2
,,,,,,,,,243,1,18,3,2023-01-18T01:40:00+08:00,47,20
,,,,,,,,,244,1,18,4,2023-01-18T02:40:00+08:00,47,20
,,,,,,,,,245,1,18,5,2023-01-18T03:40:00+08:00,47,20
,,,,,,,,,246,1,18,6,2023-01-18T04:40:00+08:00,47,20
,,,,,,,,,247,1,18,7,2023-01-18T05:40:00+08:00,78,33
,,,,,,,,,248,1,18,8,2023-01-18T06:40:00+08:00,78,33
,,,,,,,,,249,1,18,9,2023-01-18T07:40:00+08:00,78,33
,,,,,,,,,250,1,18,10,2023-01-18T08:40:00+08:00,78,33
,,,,,,,,,251,1,18,11,2023-01-18T09:40:00+08:00,78,33
,,,,,,,,,252,1,18,12,2023-01-18T10:40:00+08:00,78,33
,,,,,,,,,253,1,18,13,2023-01-18T11:40:00+08:00,78,33
,,,,,,,,,254,1,18,14,2023-01-18T12:40:00+08:00,78,33
,,,,,,,,,255,1,18,15,2023-01-18T13:40:00+08:00,78,33
,,,,,,,,,256,1,18,16,2023-01-18T14:40:00+08:00,78,33
,,,,,,,,,257,1,18,17,2023-01-18T15:40:00+08:00,62,33
,,,,,,,,,258,1,18,18,2023-01-18T16:40:00+08:00,62,33
,,,,,,,,,259,1,18,19,2023-01-18T17:40:00+08:00,62,27
,,,,,,,,,260,1,18,20,2023-01-18T18:40:00+08:00,62,27
,,,,,,,,,261,1,18,21,2023-01-18T19:40:00+08:00,62,27
,,,,,,,,,262,1,18,22,2023-01-18T20:40:00+08:00,62,27
,,,,,,,,,263,1,18,23,2023-01-18T21:40:00+08:00,62,27
,,,,,,,,,264,1,18,24,2023-01-18T22:40:00+08:00,62,27
,,,,,,,,,265,1,19,1,2023-01-18T23:40:00+08:00,47,20
,,,,,,,,,266,1,19,2,2023-01-19T00:40:00+08:00,47,20
,,,,,,,,,267,1,19,3,2023-01-19T01:40:00+08:00,47,20
,,,,,,,,,268,1,19,4,2023-01-19T02:40:00+08:00,47,20
,,,,,,,,,269,1,19,5,2023-01-19T03:40:00+08:00,47,20
,,,,,,,,,270,1,19,6,2023-01-19T04:40:00+08:00,47,20
,,,,,,,,,271,1,19,7,2023-01-19T05:40:00+08:00,78,33
,,,,,,,,,272,1,19,8,2023-01-19T06:40:00+08:00,78,33
,,,,,,,,,273,1,19,9,2023-01-19T07:40:00+08:00,78,33
,,,,,,,,,274,1,19,10,2023-01-19T08:40:00+08:00,78,33
,,,,,,,,,275,1,19,11,2023-01-19T09:40:00+08:00,78,33
,,,,,,,,,276,1,19,12,2023-01-19T10:40:00+08:00,78,33
,,,,,,,,,277,1,19,13,2023-01-19T11:40:00+08:00,78,33
,,,,,,,,,278,1,19,14,2023-01-19T12:40:00+08:00,78,33
,,,,,,,,,279,1,19,15,2023-01-19T13:40:00+08:00,78,33
,,,,,,,,,280,1,19,16,2023-01-19T14:40:00+08:00,78,33
,,,,,,,,,281,1,19,17,2023-01-19T15:40:00+08:00,62,33
,,,,,,,,,282,1,19,18,2023-01-19T16:40:00+08:00,62,33
,,,,,,,,,283,1,19,19,2023-01-19T17:40:00+08:00,62,27
,,,,,,,,,284,1,19,20,2023-01-19T18:40:00+08:00,62,27
,,,,,,,,,285,1,19,21,2023-01-19T19:40:00+08:00,62,27
,,,,,,,,,286,1,19,22,2023-01-19T20:40:00+08:00,62,27
,,,,,,,,,287,1,19,23,2023-01-19T21:40:00+08:00,62,27
,,,,,,,,,288,1,19,24,2023-01-19T22:40:00+08:00,62,27
,,,,,,,,,289,1,20,1,2023-01-19T23:40:00+08:00,47,20
,,,,,,,,,290,1,20,2,2023-01-20T00:40:00+08:00,47,20
,,,,,,,,,291,1,20,3,2023-01-20T01:40:00+08:00,47,20
,,,,,,,,,292,1,20,4,2023-01-20T02:40:00+08:00,47,20
,,,,,,,,,293,1,20,5,2023-01-20T03:40:00+08:00,47,20
,,,,,,,,,294,1,20,6,2023-01-20T04:40:00+08:00,47,20
,,,,,,,,,295,1,20,7,2023-01-20T05:40:00+08:00,78,33
,,,,,,,,,296,1,20,8,2023-01-20T06:40:00+08:00,78,33
,,,,,,,,,297,1,20,9,2023-01-20T07:40:00+08:00,78,33
,,,,,,,,,298,1,20,10,2023-01-20T08:40:00+08:00,78,33
,,,,,,,,,299,1,20,11,2023-01-20T09:40:00+08:00,78,33
,,,,,,,,,300,1,20,12,2023-01-20T10:40:00+08:00,78,33
,,,,,,,,,301,1,20,13,2023-01-20T11:40:00+08:00,78,33
,,,,,,,,,302,1,20,14,2023-01-20T12:40:00+08:00,78,33
,,,,,,,,,303,1,20,15,2023-01-20T13:40:00+08:00,78,33
,,,,,,,,,304,1,20,16,2023-01-20T14:40:00+08:00,78,33
,,,,,,,,,305,1,20,17,2023-01-20T15:40:00+08:00,62,33
,,,,,,,,,306,1,20,18,2023-01-20T16:40:00+08:00,62,33
,,,,,,,,,307,1,20,19,2023-01-20T17:40:00+08:00,62,27
,,,,,,,,,308,1,20,20,2023-01-20T18:40:00+08:00,62,27
,,,,,,,,,309,1,20,21,2023-01-20T19:40:00+08:00,62,27
,,,,,,,,,310,1,20,22,2023-01-20T20:40:00+08:00,62,27
,,,,,,,,,311,1,20,23,2023-01-20T21:40:00+08:00,62,27
,,,,,,,,,312,1,20,24,2023-01-20T22:40:00+08:00,62,27
,,,,,,,,,313,1,21,1,2023-01-20T23:40:00+08:00,47,20
,,,,,,,,,314,1,21,2,2023-01-21T00:40:00+08:00,47,20
,,,,,,,,,315,1,21,3,2023-01-21T01:40:00+08:00,47,20
,,,,,,,,,316,1,21,4,2023-01-21T02:40:00+08:00,47,20
,,,,,,,,,317,1,21,5,2023-01-21T03:40:00+08:00,47,20
,,,,,,,,,318,1,21,6,2023-01-21T04:40:00+08:00,47,20
,,,,,,,,,319,1,21,7,2023-01-21T05:40:00+08:00,78,33
,,,,,,,,,320,1,21,8,2023-01-21T06:40:00+08:00,78,33
,,,,,,,,,321,1,21,9,2023-01-21T07:40:00+08:00,78,33
,,,,,,,,,322,1,21,10,2023-01-21T08:40:00+08:00,78,33
,,,,,,,,,323,1,21,11,2023-01-21T09:40:00+08:00,78,33
,,,,,,,,,324,1,21,12,2023-01-21T10:40:00+08:00,78,33
,,,,,,,,,325,1,21,13,2023-01-21T11:50:00+08:00,78,33
,,,,,,,,,326,1,21,14,2023-01-21T12:50:00+08:00,78,33
,,,,,,,,,327,1,21,15,2023-01-21T13:50:00+08:00,78,33
,,,,,,,,,328,1,21,16,2023-01-21T14:50:00+08:00,78,33
,,,,,,,,,329,1,21,17,2023-01-21T15:50:00+08:00,62,33
,,,,,,,,,330,1,21,18,2023-01-21T16:50:00+08:00,62,33
,,,,,,,,,331,1,21,19,2023-01-21T17:50:00+08:00,62,27
,,,,,,,,,332,1,21,20,2023-01-21T18:50:00+08:00,62,27
,,,,,,,,,333,1,21,21,2023-01-21T19:50:00+08:00,62,27
,,,,,,,,,334,1,21,22,2023-01-21T20:50:00+08:00,62,27
,,,,,,,,,335,1,21,23,2023-01-21T21:50:00+08:00,62,27
,,,,,,,,,336,1,21,24,2023-01-21T22:50:00+08:00,62,27
,,,,,,,,,337,1,22,1,2023-01-21T23:50:00+08:00,47,20
,,,,,,,,,338,1,22,2,2023-01-22T00:50:00+08:00,47,20
,,,,,,,,,339,1,22,3,2023-01-22T01:50:00+08:00,47,20
,,,,,,,,,340,1,22,4,2023-01-22T02:50:00+08:00,47,20
,,,,,,,,,341,1,22,5,2023-01-22T03:50:00+08:00,47,20
,,,,,,,,,342,1,22,6,2023-01-22T04:50:00+08:00,47,20
,,,,,,,,,343,1,22,7,2023-01-22T05:50:00+08:00,78,33
,,,,,,,,,344,1,22,8,2023-01-22T06:50:00+08:00,78,33
,,,,,,,,,345,1,22,9,2023-01-22T07:50:00+08:00,78,33
,,,,,,,,,346,1,22,10,2023-01-22T08:50:00+08:00,78,33
,,,,,,,,,347,1,22,11,2023-01-22T09:50:00+08:00,78,33
,,,,,,,,,348,1,22,12,2023-01-22T10:50:00+08:00,78,33
,,,,,,,,,349,1,22,13,2023-01-22T11:50:00+08:00,78,33
,,,,,,,,,350,1,22,14,2023-01-22T12:50:00+08:00,78,33
,,,,,,,,,351,1,22,15,2023-01-22T13:50:00+08:00,78,33
,,,,,,,,,352,1,22,16,2023-01-22T14:50:00+08:00,78,33
,,,,,,,,,353,1,22,17,2023-01-22T15:50:00+08:00,62,33
