ID,Resource,Zone,technology,Total_MW,Start_MW,Change_in_MW,Electricity_GWh,commodity,plant_owner,owner_parent_company,owner_home_country_flag
158,pt_south_pasific_viscose_geothermal,3,geothermal,0.0,12058.94453,-12058.94453,0.0,,,,
159,pt_south_pasific_viscose_solar,3,solar,0.0,2183.464248,-2183.464248,0.0,,,,
160,pt_south_pasific_viscose_solar,3,solar,0.0,34863.74166,-34863.74166,0.0,,,,
161,pt_aspek_kumbong,3,coal_captive,0.0,33.0,-33.0,0.0,pulp_paper,pt_aspek_kumbong,korindo_group,indonesia
162,pt_aspek_kumbong_geothermal,3,geothermal,0.0,7389.976632,-7389.976632,0.0,,,,
163,pt_aspek_kumbong_solar,3,solar,0.0,17735.94392,-17735.94392,0.0,,,,
164,pt_pura_grouppt_pura_unit_tss,4,coal_captive,0.0,15.0,-15.0,0.0,pulp_paper,pt_pura_group,pt_pura_group,indonesia
165,pt_pura_grouppt_pura_unit_tss_geothermal,4,geothermal,0.0,2103.125699,-2103.125699,0.0,,,,
166,pt_pura_grouppt_pura_unit_tss_geothermal,4,geothermal,0.0,639.86878,-639.86878,0.0,,,,
167,pt_pura_grouppt_pura_unit_tss_geothermal,4,geothermal,0.0,2864.867744,-2864.867744,0.0,,,,
168,pt_pura_grouppt_pura_unit_tss_geothermal,4,geothermal,0.0,1955.764561,-1955.764561,0.0,,,,
169,pt_pura_grouppt_pura_unit_tss_solar,4,solar,0.0,5047.501677,-5047.501677,0.0,,,,
170,pt_pura_grouppt_pura_unit_tss_solar,4,solar,0.0,1535.685073,-1535.685073,0.0,,,,
171,pt_pura_grouppt_pura_unit_tss_solar,4,solar,0.0,454.880269,-454.880269,0.0,,,,
172,pt_pura_grouppt_pura_unit_tss_solar,4,solar,0.0,4693.834946,-4693.834946,0.0,,,,
173,pt_rayon_utama_makmur,4,coal_captive,0.0,30.0,-30.0,0.0,viscose,pt_rayon_utama_makmur,pt_kapas_agung_abadi,indonesia
174,pt_rayon_utama_makmur_geothermal,4,geothermal,0.0,543.216386,-543.216386,0.0,,,,
175,pt_rayon_utama_makmur_geothermal,4,geothermal,0.0,6950.422432,-6950.422432,0.0,,,,
176,pt_rayon_utama_makmur_solar,4,solar,0.0,1303.719327,-1303.719327,0.0,,,,
177,pt_rayon_utama_makmur_solar,4,solar,0.0,16681.01384,-16681.01384,0.0,,,,
178,tjiwi_kimia_paper_mill_power_station_unit_1,6,coal_captive,0.0,35.0,-35.0,0.0,pulp_paper,pt_pabrik_kertas_tjiwi_kimia_tbk,asia_pulp__paper_company_ltd,singapore
179,tjiwi_kimia_paper_mill_power_station_unit_2,6,coal_captive,0.0,35.0,-35.0,0.0,pulp_paper,pt_pabrik_kertas_tjiwi_kimia_tbk,asia_pulp__paper_company_ltd,singapore
180,tjiwi_kimia_paper_mill_power_station_unit_3,6,coal_captive,0.0,70.0,-70.0,0.0,pulp_paper,pt_pabrik_kertas_tjiwi_kimia_tbk,asia_pulp__paper_company_ltd,singapore
181,tjiwi_kimia_paper_mill_power_station_unit_4,6,coal_captive,0.0,90.0,-90.0,0.0,pulp_paper,pt_pabrik_kertas_tjiwi_kimia_tbk,asia_pulp__paper_company_ltd,singapore
182,asahimas_chemical_power_station_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
183,cemindo_gemilang_power_station_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
184,cilegon_ptip_power_station_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
185,dss_serang_power_station_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
186,pt_indocoke_industry_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
187,pt_permata_dunia_sukses_utama_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
188,pt_sentra_usahatama_jaya_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
189,pt_angels_products_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
190,pt_berkah_manis_makmur_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
191,pt_chandra_asri_petrochemical_tbk_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
192,pt_dian_swastatika_sentosa_tangerang_power_plant_battery,2,battery,0.0,100.0,-100.0,0.0,,,,
193,bandung_indosyntec_power_station_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
194,fajar_power_station_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
195,indo_bharat_rayon_power_station_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
196,pindodeliii_power_station_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
197,purwakarta_indorama_power_station_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
198,pt_south_pasific_viscose_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
199,pt_aspek_kumbong_battery,3,battery,0.0,100.0,-100.0,0.0,,,,
200,pt_pura_grouppt_pura_unit_tss_battery,4,battery,0.0,100.0,-100.0,0.0,,,,
201,pt_rayon_utama_makmur_battery,4,battery,0.0,100.0,-100.0,0.0,,,,
202,tjiwi_kimia_paper_mill_power_station_battery,6,battery,0.0,100.0,-100.0,0.0,,,,
