Village,gen_cost,solar_cost,diesel_cost,battery_power_cost,battery_energy_cost,total_cost
45,20788.635371104636,15778.125681476387,2061.717012530031,2948.7926770982185,21432.63486263391,42221.27023373854
46,27753.51162048523,20990.458033624294,2783.08472467384,3979.9688621870946,28928.231826770825,56681.743447256056
47,28581.7382263648,21589.373997902556,2877.212159982149,4115.152068480097,29907.432776405294,58489.17100277009
48,27770.704386937206,20988.76261877844,2790.913459422061,3991.0283087367065,29009.996530270488,56780.700917207694
49,49440.12551336703,37075.245140664185,5087.806607065805,7277.073765637041,52888.0040142065,102328.12952757353
50,57919.674248435695,43402.22928950738,5973.537482931626,8543.907475996693,62098.22095055642,120017.8951989921
51,37145.13858433581,28038.208916543168,3747.357909871931,5359.571757920709,38953.404988970884,76098.5435733067
52,39768.15220688462,29861.298637687814,4076.3682025101393,5830.485366686664,42376.709325066986,82144.86153195161
53,34447.63721887198,25950.90498328038,3496.3681091667336,5000.364126424867,36344.76633895174,70792.40355782372
54,31246.64167390396,23435.722095161767,3214.1157784317097,4596.803800310481,33412.66942964098,64659.31110354494
55,51824.924791043115,39061.198358174865,5252.30483936152,7511.4215935067305,54597.998332424264,106422.92312346738
56,40729.43290066658,30860.271217033136,4061.08266020066,5808.079023432781,42210.48036683351,82939.91326750009
57,44236.00838305668,33529.63760837419,4405.813192383666,6300.557582298824,45798.26842649556,90034.27680955225
58,62145.53813395666,46828.38353440993,6302.986690968502,9014.16790857823,65517.72724861816,127663.26538257481
59,19941.907473474115,15103.039775273635,1991.1263868475523,2847.7413113529283,20698.070300320127,40639.97777379424
60,106608.06303727717,80470.64590836446,10755.786524916608,15381.630603996113,111808.83219843081,218416.89523570798
61,14248.146669990625,10799.687979102038,1419.026567370105,2029.432123518482,14749.783972438787,28997.93064242941
62,71908.50860326544,54189.72462076297,7290.702479155674,10428.08150334679,75789.44473914873,147697.95334241417
63,28581.7382263648,21589.373997902556,2877.212159982149,4115.152068480097,29907.432776405294,58489.17100277009
64,26410.28358965144,19875.694063729494,2688.8645336067557,3845.7249923151912,27952.58821082073,54362.871800472174
65,13159.182827839113,9958.770234351989,1316.9242566635992,1883.4883368235257,13690.502940780703,26849.685768619816
66,113162.43057947961,85499.17975324433,11382.920910357447,16280.329915877843,118325.65994742495,231488.09052690456
67,89708.76280308193,67379.95593997672,9187.84711459507,13140.959748510135,95507.87483539761,185216.63763847953
68,45107.868904427574,33848.4223373335,4633.206856924713,6626.239710169364,48162.20902717653,93270.0779316041
69,87287.88895840757,65987.79860567732,8764.536755271889,12535.55359745835,91111.58344424999,178399.47240265756
70,16126.725517919662,12221.09675011728,1607.124135654169,2298.5046321482123,16705.487444683047,32832.21296260271
71,37817.70534647475,28635.279794585535,3778.614657855036,5403.810894034184,39276.99166605943,77094.69701253419
72,32553.56159104392,24589.527712109113,3277.033123075202,4687.000755859604,34063.539876472045,66617.10146751597
73,25357.19539182221,19260.663648244008,2508.5954464038027,3587.9362971743985,26076.5612359323,51433.75662775451
74,180296.7831446328,136306.20660204126,18101.265947903423,25889.3105946881,188169.289583008,368466.0727276408
75,38628.014143143904,29178.032077677926,3888.344651755363,5561.637413710614,40419.98110404598,79047.99524718989
76,17436.877226693563,13188.413819223366,1748.2058929954144,2500.2575144747807,18173.20551259668,35610.08273929024
77,75952.15793160089,56481.719578874385,8011.832790752069,11458.60556197443,83286.18989758227,159238.34782918316
78,25523.691477797674,19351.06748157667,2540.0008041435053,3632.623192077499,26402.884936876097,51926.57641467377
79,16840.584233700847,12744.813712666888,1685.3751182932451,2410.395402740715,17520.48275397074,34361.066987671584
80,26500.739918870575,19832.54051917304,2743.724944981729,3924.4744547158098,28522.157795221814,55022.89771409239
81,42199.449110132395,31854.653215901002,4256.847283301843,6087.948610929552,44249.96322215703,86449.41233228942
82,164202.88522624417,122919.86942114211,16988.067288902534,24294.948516199536,176589.86512829602,340792.7503545402
83,90171.36175250389,67500.97993438444,9328.901070550703,13341.480747568761,96973.66909450121,187145.03084700508
84,118814.06136531706,88942.48169569048,12292.21644156283,17579.363228063732,127777.04396664139,246591.10533195845
85,18185.719295314546,13613.655251136788,1881.3390475025494,2690.724996675207,19557.770274695587,37743.48957001013
86,115101.11647910433,86163.04654874817,11908.061711040587,17030.008219315565,123784.03372626707,238885.15020537138
87,105250.60556860044,78788.91700189127,10889.171637783682,15572.51692892548,113190.13187087074,218440.73743947118
88,48647.084344667936,36416.50149036188,5032.918396902592,7197.664457403469,52316.88298170927,100963.9673263772
89,231869.3812006746,173573.94240482574,23988.785831356145,34306.65296449274,249360.6895549663,481230.07075564086
90,74334.6920142639,55645.78024589319,7690.60155215101,10998.310216219694,79942.06610483401,154276.7581190979
91,70394.31529799948,52696.164054547444,7282.83942829309,10415.311815158952,75704.63173931964,146098.94703731913
92,59331.17820134307,44414.53745506196,6138.172202380292,8778.468543900819,63807.05158166422,123138.2297830073
