R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
44,2,kalimantan,south_kalimantan,dedieselisasi,solar,1.2,0,2023,plan,ipp,0,1,560000,0,0,10000,0,0,1.2,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
45,2,kalimantan,south_kalimantan,kaisel_relokasi_,gas,200,0,2024,relocation,pln,0,0,730000,0,0,22500,0,2.23,200,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
46,2,kalimantan,south_kalimantan,tanah_laut,wind,70,0,2024,plan,ipp,0,1,1280000,0,0,51000,0,0,70,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1,,,1,
47,2,kalimantan,south_kalimantan,kotabaru,coal,14,0,2025,construction,pln,0,0,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
48,2,kalimantan,south_kalimantan,dedieselisasi,solar,2.03,0,2025,plan,ipp,0,1,560000,0,0,10000,0,0,2.03,0,1,1,0,0,0,0,None,0,0,0,0,0,1,0,0,,,1,
49,2,kalimantan,south_kalimantan,kaisel_1,ccgt,100,0,2030,plan,plat,0,1,660000,0,0,22800,0,2.23,100,0.3,0.2,0.2,1,80,2,5.78,gas,6,6,1,1,1,0,0,0,,,0,
50,3,kalimantan,central_kalimantan,pltmg_bangkanai_ftp2,gas,155,0,,operating,pln,,-1,730000,0,0,22500,0,2.23,155,0.3,0.2,0.2,1,24,13.7,9.75,gas,1,1,1,1,1,0,0,0,,,0,
51,3,kalimantan,central_kalimantan,pltu_kalselteng_1,coal,200,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
52,3,kalimantan,central_kalimantan,pltd_sampit,diesel,9,0,,operating,pln,,-1,800000,0,0,8000,0,6,9,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,,,0,
53,3,kalimantan,central_kalimantan,pltu_pangkalan_bun,coal,14,0,,operating,pln,,-1,1600000,0,0,43900,0,0.12,14,0.25,0.035,0.035,1,110,13.7,8.97,coal,24,24,1,1,1,0,0,0,,,0,
