Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,corresponding_week,r_id,month,day,hour,date,demand_ip1,demand_ip2,demand_ip3,demand_ip4
,,,,,,,,,129,6,16,9,2023-06-16T07:50:00+08:00,20,15,297,602
,,,,,,,,,130,6,16,10,2023-06-16T08:50:00+08:00,20,15,297,602
,,,,,,,,,131,6,16,11,2023-06-16T09:50:00+08:00,20,15,297,602
,,,,,,,,,132,6,16,12,2023-06-16T10:50:00+08:00,20,15,297,602
,,,,,,,,,133,6,16,13,2023-06-16T11:50:00+08:00,20,15,297,602
,,,,,,,,,134,6,16,14,2023-06-16T12:50:00+08:00,20,15,297,602
,,,,,,,,,135,6,16,15,2023-06-16T13:50:00+08:00,20,15,297,602
,,,,,,,,,136,6,16,16,2023-06-16T14:50:00+08:00,20,15,297,602
,,,,,,,,,137,6,16,17,2023-06-16T15:50:00+08:00,20,15,297,602
,,,,,,,,,138,6,16,18,2023-06-16T16:50:00+08:00,20,15,297,602
,,,,,,,,,139,6,16,19,2023-06-16T17:50:00+08:00,16,12,237,481
,,,,,,,,,140,6,16,20,2023-06-16T18:50:00+08:00,16,12,237,481
,,,,,,,,,141,6,16,21,2023-06-16T19:50:00+08:00,16,12,237,481
,,,,,,,,,142,6,16,22,2023-06-16T20:50:00+08:00,16,12,237,481
,,,,,,,,,143,6,16,23,2023-06-16T21:50:00+08:00,16,12,237,481
,,,,,,,,,144,6,16,24,2023-06-16T22:50:00+08:00,16,12,237,481
,,,,,,,,,145,6,17,1,2023-06-16T23:50:00+08:00,12,9,178,361
,,,,,,,,,146,6,17,2,2023-06-17T00:50:00+08:00,12,9,178,361
,,,,,,,,,147,6,17,3,2023-06-17T01:50:00+08:00,12,9,178,361
,,,,,,,,,148,6,17,4,2023-06-17T02:50:00+08:00,12,9,178,361
,,,,,,,,,149,6,17,5,2023-06-17T03:50:00+08:00,12,9,178,361
,,,,,,,,,150,6,17,6,2023-06-17T04:50:00+08:00,12,9,178,361
,,,,,,,,,151,6,17,7,2023-06-17T05:50:00+08:00,20,15,297,602
,,,,,,,,,152,6,17,8,2023-06-17T06:50:00+08:00,20,15,297,602
,,,,,,,,,153,6,17,9,2023-06-17T07:50:00+08:00,20,15,297,602
,,,,,,,,,154,6,17,10,2023-06-17T08:50:00+08:00,20,15,297,602
,,,,,,,,,155,6,17,11,2023-06-17T09:50:00+08:00,20,15,297,602
,,,,,,,,,156,6,17,12,2023-06-17T10:50:00+08:00,20,15,297,602
,,,,,,,,,157,6,17,13,2023-06-17T11:50:00+08:00,20,15,297,602
,,,,,,,,,158,6,17,14,2023-06-17T12:50:00+08:00,20,15,297,602
,,,,,,,,,159,6,17,15,2023-06-17T13:50:00+08:00,20,15,297,602
,,,,,,,,,160,6,17,16,2023-06-17T14:50:00+08:00,20,15,297,602
,,,,,,,,,161,6,17,17,2023-06-17T15:50:00+08:00,20,15,297,602
,,,,,,,,,162,6,17,18,2023-06-17T16:50:00+08:00,20,15,297,602
,,,,,,,,,163,6,17,19,2023-06-17T17:50:00+08:00,16,12,237,481
,,,,,,,,,164,6,17,20,2023-06-17T18:50:00+08:00,16,12,237,481
,,,,,,,,,165,6,17,21,2023-06-17T19:50:00+08:00,16,12,237,481
,,,,,,,,,166,6,17,22,2023-06-17T20:50:00+08:00,16,12,237,481
,,,,,,,,,167,6,17,23,2023-06-17T21:50:00+08:00,16,12,237,481
,,,,,,,,,168,6,17,24,2023-06-17T22:50:00+08:00,16,12,237,481
,,,,,,,,,169,1,15,1,2023-01-14T23:30:00+08:00,12,9,178,361
,,,,,,,,,170,1,15,2,2023-01-15T00:30:00+08:00,12,9,178,361
,,,,,,,,,171,1,15,3,2023-01-15T01:30:00+08:00,12,9,178,361
,,,,,,,,,172,1,15,4,2023-01-15T02:30:00+08:00,12,9,178,361
,,,,,,,,,173,1,15,5,2023-01-15T03:30:00+08:00,12,9,178,361
,,,,,,,,,174,1,15,6,2023-01-15T04:30:00+08:00,12,9,178,361
,,,,,,,,,175,1,15,7,2023-01-15T05:30:00+08:00,20,15,297,602
,,,,,,,,,176,1,15,8,2023-01-15T06:30:00+08:00,20,15,297,602
