R_ID,Zone,System,Province,Village,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
38,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_geothermal,,geothermal,1196.61747,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,2.5,1,3440000,0,0,43000,0,0.22,1196.61747,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
39,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_geothermal,,geothermal,437.976843,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,3,1,3440000,0,0,43000,0,0.22,437.976843,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
40,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_solar,,solar,182064.1355,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,1,1,560000,0,0,10000,0,0,182064.1355,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
41,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_solar,,solar,31944.16083,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,1.5,1,560000,0,0,10000,0,0,31944.16083,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
42,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_solar,,solar,2701.343026,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,2,1,560000,0,0,10000,0,0,2701.343026,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
43,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_solar,,solar,186.540084,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,2.5,1,560000,0,0,10000,0,0,186.540084,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
44,3,sulawesi,central_sulawesi,4,sulawesi_labota_power_station_solar,,solar,1051.144423,0,,,,,,,,,,,,,,,,,,,-2.86899,122.1719,Gardu Induk Bungku,50.97617009,3,1,560000,0,0,10000,0,0,1051.144423,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
45,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_phase_i_unit_1,,coal_captive,2080,0,operating,2015,,nickel,,the_power_plants_were_constructed_by_the_industrial_park_developer_as_part_of_the_infrastructure_for_both_the_park_and_local_communities,pt_sulawesi_mining_investment,pt_bintang_delapan_group_shanghai_decent_investment_group_co_ltd,china_indonesia,tsingshan_holding_group_,china_development_bank,tsingshan_holding_group,owner_financier_epc,indonesian_morowali_industrial_park_imip,,,,,-2.82559,122.1554,,,4,-1,1600000,0,0,43900,0,0.12,2080,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
46,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_geothermal,,geothermal,96250.95659,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,1,1,3440000,0,0,43000,0,0.22,96250.95659,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
47,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_geothermal,,geothermal,10746.61262,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,1.5,1,3440000,0,0,43000,0,0.22,10746.61262,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
48,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_geothermal,,geothermal,747.26789,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,2,1,3440000,0,0,43000,0,0.22,747.26789,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
49,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_geothermal,,geothermal,808.727084,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,2.5,1,3440000,0,0,43000,0,0.22,808.727084,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
50,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_geothermal,,geothermal,378.451093,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,3,1,3440000,0,0,43000,0,0.22,378.451093,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
51,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_solar,,solar,165248.661,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,1,1,560000,0,0,10000,0,0,165248.661,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
52,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_solar,,solar,25335.45934,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,1.5,1,560000,0,0,10000,0,0,25335.45934,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
53,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_solar,,solar,1793.442935,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,2,1,560000,0,0,10000,0,0,1793.442935,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
54,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_solar,,solar,125.195087,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,2.5,1,560000,0,0,10000,0,0,125.195087,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
55,3,sulawesi,central_sulawesi,5,sulawesi_mining_power_station_solar,,solar,908.282622,0,,,,,,,,,,,,,,,,,,,-2.82738,122.1553,Gardu Induk Bungku,45.94359512,3,1,560000,0,0,10000,0,0,908.282622,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
56,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_unit_1,,coal_captive,130,0,operating,2022,,nickel,wanxiang_nickel_indonesia_smelter,the_power_plants_were_constructed_mainly_to_support_the_nickel_smelter_operated_by_the_same_entities_who_built_the_power_plants,pt_wanxiang_nickel_indonesia,vansun_group_private_ltd_89_wang_sing_international_resources_ltd_10,china,zhongrong_wanxiang_holding_group_co_ltd__chengtun_mining_group_,zhongrong_wanxiang_holding_group_tsingshan_holding_group,pt_wanxiang_steel_indonesia,owner_financier_epc,indonesia_wanxiang_new_energy_industrial_park,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,4,-1,1600000,0,0,43900,0,0.12,130,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
57,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_geothermal,,geothermal,93492.84672,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,1,1,3440000,0,0,43000,0,0.22,93492.84672,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
58,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_geothermal,,geothermal,6868.868668,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,1.5,1,3440000,0,0,43000,0,0.22,6868.868668,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
59,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_geothermal,,geothermal,547.529861,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,2,1,3440000,0,0,43000,0,0.22,547.529861,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
60,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_geothermal,,geothermal,518.71192,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,2.5,1,3440000,0,0,43000,0,0.22,518.71192,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
61,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_geothermal,,geothermal,340.038018,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,3,1,3440000,0,0,43000,0,0.22,340.038018,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
62,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_solar,,solar,10553.67118,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,1,1,560000,0,0,10000,0,0,10553.67118,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
63,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_solar,,solar,16236.30189,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,1.5,1,560000,0,0,10000,0,0,16236.30189,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
64,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_solar,,solar,1314.071665,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,2,1,560000,0,0,10000,0,0,1314.071665,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
65,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_solar,,solar,79.987913,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,2.5,1,560000,0,0,10000,0,0,79.987913,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
66,3,sulawesi,central_sulawesi,6,wanxiang_nickel_indonesia_power_station_solar,,solar,816.091244,0,,,,,,,,,,,,,,,,,,,-2.73095,122.0306,Gardu Induk Bungku,30.17415184,3,1,560000,0,0,10000,0,0,816.091244,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
67,3,sulawesi,central_sulawesi,7,pt_yongyu_nickel_sulawesi_power_plant,,coal_captive,700,0,construction,,,nickel,,,pt_yongyu_international_energy_indonesia,chengtun_mining_group_80,china,chengtun_mining_group_,,,owner,indonesian_weda_bay_industrial_park_iwip,,,,,0.476161,128.0081,,,4,-1,1360000,0,0,40000,0,0.12,700,0.25,0.04,0.04,1,50,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
68,3,sulawesi,central_sulawesi,7,pt_yongyu_nickel_sulawesi_power_plant_geothermal,,geothermal,131476.5539,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3440000,0,0,43000,0,0.22,131476.5539,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
