R_ID,Zone,System,Province,Industrial_Park,Resource,Resource_Other_Name,technology,Existing_Cap_MW,Existing_Cap_MWh,status,Start_Year,Retire_Year,commodity,supported_project,nature_of_support,plant_owner,owner_parent_company,owner_home_country_flag,major_mainland_china_shareholder,financier,epc,mainland_china_involvement_type,industrial_park,combustion_tech,coal_type,coal_source,alternate_fuel,latitude,longitude,hubname,hubdist,class,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,RE
37,2,sumatera,north_sumatra,4,pt_sintong_abadi_geothermal,,geothermal,2702.676576,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,2702.676576,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
38,2,sumatera,north_sumatra,4,pt_sintong_abadi_geothermal,,geothermal,1421.414026,0,,,,,,,,,,,,,,,,,,,,,,,2,1,3440000,0,0,43000,0,0.22,1421.414026,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
39,2,sumatera,north_sumatra,4,pt_sintong_abadi_geothermal,,geothermal,1552.0307,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,3440000,0,0,43000,0,0.22,1552.0307,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
40,2,sumatera,north_sumatra,4,pt_sintong_abadi_geothermal,,geothermal,1926.619823,0,,,,,,,,,,,,,,,,,,,,,,,3,1,3440000,0,0,43000,0,0.22,1926.619823,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
41,2,sumatera,north_sumatra,4,pt_sintong_abadi_solar,,solar,6486.423783,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,6486.423783,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
42,2,sumatera,north_sumatra,4,pt_sintong_abadi_solar,,solar,3411.393663,0,,,,,,,,,,,,,,,,,,,,,,,2,1,560000,0,0,10000,0,0,3411.393663,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
43,2,sumatera,north_sumatra,4,pt_sintong_abadi_solar,,solar,256.793818,0,,,,,,,,,,,,,,,,,,,,,,,2.5,1,560000,0,0,10000,0,0,256.793818,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
44,2,sumatera,north_sumatra,4,pt_sintong_abadi_solar,,solar,4623.887574,0,,,,,,,,,,,,,,,,,,,,,,,3,1,560000,0,0,10000,0,0,4623.887574,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
45,2,sumatera,north_sumatra,5,pt_toba_pulp_lestari,,coal_captive,82,0,operating,,,pulp_paper,,,pt_toba_pulp_lestari,pinnacle_company_pte_ltd,singapore,_,,,,no,,,,,2.46525308,99.1960025,,,4,-1,1600000,0,0,43900,0,0.12,82,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
46,2,sumatera,north_sumatra,5,pt_toba_pulp_lestari_geothermal,,geothermal,2136.713664,0,,,,,,,,,,,,,,,,,,,,,,,1,1,3440000,0,0,43000,0,0.22,2136.713664,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
47,2,sumatera,north_sumatra,5,pt_toba_pulp_lestari_geothermal,,geothermal,5188.259898,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,3440000,0,0,43000,0,0.22,5188.259898,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,0,0,0,1
48,2,sumatera,north_sumatra,5,pt_toba_pulp_lestari_solar,,solar,807.068094,0,,,,,,,,,,,,,,,,,,,,,,,1,1,560000,0,0,10000,0,0,807.068094,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
49,2,sumatera,north_sumatra,5,pt_toba_pulp_lestari_solar,,solar,9938.464435,0,,,,,,,,,,,,,,,,,,,,,,,1.5,1,560000,0,0,10000,0,0,9938.464435,0,1,1,0,0,0,0,None,0,0,1,1,0,1,0,1
50,3,sumatera,riau,6,nanshan_industrial_park_power_station_phase_i_unit_1,,coal_captive,30,0,operating,2021,,aluminium,,the_power_plants_were_constructed_to_support_the_industrial_park_as_well_as_the_special_economic_zone_galang_batang_kek,pt_bintan_alumina_indonesia,global_aluminium_international_727_press_metal_aluminium_holdings_bhd_25_pt_mahkota_karya_utama_23,china_malaysia,shandong_nanshan_aluminum_co_ltd__,nanshan_aluminum_singapore_global_aluminum_international_bintan_aluminum_indonesia,china_national_electric_engineering_co_ltd_shandong_branch,owner_financier_epc,bintan_nanshan_industrial_park,subcritical,,,,0.917142,104.6555,,,4,-1,1600000,0,0,43900,0,0.12,30,0.25,0.035,0.035,1,110,13.7,8.97,coal_captive,24,24,1,1,1,0,0,0
