R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
56,9,sumatera,lampung,pltu_tarahan,coal,200,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
57,9,sumatera,lampung,plta_semangka,hydropower,56,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,56,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
58,9,sumatera,lampung,pltp_ulubelu,geothermal,110,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,110,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
59,9,sumatera,lampung,pltp_ulubelu_34,geothermal,110,0,,operating,pln,,-1,3440000,0,0,43000,0,0.22,110,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
60,9,sumatera,lampung,plta_besai,hydropower,90,0,,operating,pln,,-1,2000000,0,0,36200,0,0.62,90,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
61,9,sumatera,lampung,pltd_tegineneng,diesel,19.3,0,,operating,pln,,-1,800000,0,0,8000,0,6,19.3,0.06,0.25,0.25,1,0,2,7.42,diesel,0.5,0.5,1,1,1,0,0,0,0,1,0,0
62,9,sumatera,lampung,plta_batutegi,hydropower,29.2,0,,operating,pln,,-1,2200000,0,0,40200,0,0.48,29.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
63,9,sumatera,lampung,pltu_tarahan,coal,200,0,,operating,pln,,-1,1360000,0,0,40000,0,0.12,200,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,0,0,0
64,1,sumatera,aceh,excerpt_1,hydropower,43,0,,construction,pln,0,0,2200000,0,0,40200,0,0.48,43,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
65,1,sumatera,aceh,excerpt_2,hydropower,45,0,,construction,pln,0,0,2200000,0,0,40200,0,0.48,45,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
66,1,sumatera,aceh,tanjung_semanto,biomass,9.8,0,,construction,ipp,0,0,1820000,0,0,43800,0,2.8,9.8,0.3,0.1,0.1,1,0,0,0,biomass,0,0,1,1,0,0,0,0,0,1,1,0
67,1,sumatera,aceh,meulaboh_nagan_raya,coal,400,0,,construction,ipp,0,0,1360000,0,0,40000,0,0.12,400,0.25,0.04,0.04,1,50,13.7,8.97,coal,24,24,1,1,1,0,0,0,0,1,0,0
68,1,sumatera,aceh,pltp_jaboi,geothermal,20,0,,planning,jetp,,1,3440000,0,0,43000,0,0.22,20,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,1,0,0,1,0
69,1,sumatera,aceh,pltm_alur_cincin,hydropower,7.2,0,,plannnig,jetp,,1,2590000,0,0,50900,0,0.48,7.2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,0,0,1,0
70,1,sumatera,aceh,pltm_pantan_cuaca,hydropower,4.5,0,,planning,jetp,,1,2590000,0,0,50900,0,0.48,4.5,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,1,0,0,1,0
71,2,sumatera,north_sumatera,aek_sisira_simandame,hydropower_mini,4.6,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,4.6,0,0.5,0.5,0,0,0,10.34,None,0,0,,,0,0,0,0,0,1,1,0
72,2,sumatera,north_sumatera,anggoci,hydropower_mini,9,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
73,2,sumatera,north_sumatera,lae_kombih_3,hydropower_mini,8,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,8,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
74,2,sumatera,north_sumatera,parmonangan2,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
75,2,sumatera,north_sumatera,sei_wampu,hydropower_mini,9,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
76,2,sumatera,north_sumatera,sorik_marapi_ftp2,geothermal,45,0,,construction,ipp,0,0,3440000,0,0,43000,0,0.22,45,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
77,2,sumatera,north_sumatera,sorik_marapi_ftp2,geothermal,50,0,,construction,ipp,0,0,3440000,0,0,43000,0,0.22,50,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
78,2,sumatera,north_sumatera,sorik_marapi_ftp2,geothermal,50,0,,construction,ipp,0,0,3440000,0,0,43000,0,0.22,50,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
79,2,sumatera,north_sumatera,sorik_marapi_ftp2,geothermal,50,0,,construction,ipp,0,0,3440000,0,0,43000,0,0.22,50,0,0.1,0.1,0,0,0,10.34,None,0,0,1,1,1,0,0,0,0,1,1,0
80,2,sumatera,north_sumatera,kandibata_1,hydropower_mini,9.7,0,,construction,ipp,0,0,2590000,0,0,50900,0,0.48,9.7,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
81,2,sumatera,north_sumatera,parluasan,hydropower_mini,10,0,,construction,ipp,0,0,0,0,0,8040,0,0.096,10,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,0,0,1,1,0
