R_ID,Zone,System,Province,Resource,technology,Existing_Cap_MW,Existing_Cap_MWh,cod,status,owner,quota_allocation,New_Build,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,capex_mw,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Var_OM_Cost_per_MWh,Max_Cap_MW,Min_Power_MW,Ramp_Up_Percentage,Ramp_Dn_Percentage,Commit,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Heat_Rate_MMBTU_per_MWh,Fuel,Up_Time,Down_Time,Eff_Up,Eff_Down,THERM,VRE,STOR,JETP,post_JETP,JETP_r,RE,priority
134,1,sulawesi,north_sulawesi,plta_sulbagut,hydropower,30,0,2024,plan,jetp,,1,2200000,0,0,40200,0,0.48,30,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
135,4,sulawesi,south_sulawesi,plta_sulbagsel_kuota_tersebar,hydropower,400,0,2024,plan,jetp,,1,2000000,0,0,36200,0,0.62,400,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
136,4,sulawesi,south_sulawesi,plta_sulbagsel_kuota_tersebar,hydropower,350,0,2025,plan,jetp,,1,2000000,0,0,36200,0,0.62,350,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
137,3,sulawesi,central_sulawesi,plta_sulawesi_kuota_tersebar,hydropower,250,0,2029,plan,jetp,,1,2000000,0,0,36200,0,0.62,250,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
138,3,sulawesi,central_sulawesi,plta_sulawesi_kuota_tersebar,hydropower,250,0,2030,plan,jetp,,1,2000000,0,0,36200,0,0.62,250,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
139,6,sulawesi,west_sulawesi,plta_pokko,hydropower,125,0,2026,plan,jetp,,1,2000000,0,0,36200,0,0.62,125,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
140,5,sulawesi,southeast_sulawesi,plta_watunohu,hydropower,22,0,2024,plan,jetp,,1,2200000,0,0,40200,0,0.48,22,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
141,5,sulawesi,southeast_sulawesi,plta_konawe_bendung_piipr,hydropower,210,0,2028,plan,jetp,,1,2000000,0,0,36200,0,0.62,210,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
142,1,sulawesi,north_sulawesi,pltm_dominanga,hydropower_mini,3.5,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,3.5,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
143,5,sulawesi,southeast_sulawesi,pltm_lapa_1,hydropower_mini,2.7,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,2.7,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
144,5,sulawesi,southeast_sulawesi,pltm_lapa_1,hydropower_mini,2.7,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,2.7,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
145,5,sulawesi,southeast_sulawesi,pltm_lapa_2,hydropower_mini,2,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
146,5,sulawesi,southeast_sulawesi,pltm_lapa_2,hydropower_mini,2,0,2024,plan,jetp,,1,2590000,0,0,50900,0,0.48,2,0,0.5,0.5,0,0,0,10.34,None,0,0,1,1,0,0,0,1,,,1,
